Metric,Current Month,Previous Month,Same Month Last Year,Budget
Revenue,5000000,4500000,4800000,5200000
Cost of Goods Sold,3000000,2700000,2900000,3100000
Gross Profit,2000000,1800000,1900000,2100000
Gross Margin %,40,40,39.6,40.4
Operating Expenses,1200000,1100000,1150000,1150000
Operating Profit,800000,700000,750000,950000
Net Profit,700000,620000,670000,850000
Receivables Over 60 Days,850000,700000,600000,500000
Payables Outstanding,450000,420000,400000,400000
Cash at Bank,1200000,1400000,1600000,1500000
